Latijn,Genitief,Nederlands,Geheugensteun,
dömïnus,"domini, m.","meester, baas",domineren,
équus,"equi, m.",paard,,
glädius,"gladii, m.",zwaard,gladiator,
"asini, m.",ezel,,,
amica,"amicae, v.",vriendin,,
aqua,"aquae, v.",water,aquarium,
fabüla,"fabulae, v.",verhaal,,
silentium,"silentii, o.",stilte,"F./E, silence",
templum,"templi, o.",tempel,,
vinum,"vini, o.",wijn,F. vin,
avus,"avi, m.",grootvader,,
murus,"muri, m.",muur,,
amicus,"amici, m.",vriend,F. ami,
servus,"servi, m.",slaaf,F. servir,
filius,"filii, m.",zoon,F. fils,
ludus,"ludi, m.","1. spel, 2. school",,
rösa,"rosae, v.",roos,,
domina,"dominae, v.",meesteres,L. dominus,
insùla,"insulae, v.",eiland,,
filia,"filiae, v.",dochter,L. filius,
vita,"vitae, v.",leven,,
provincia,"provinciae, v.",provincie,,
donum,"doni, o.",geschenk,F. donner,
bellum,"belli, o.",oorlog,,
forum,"fori, o.","forum, markt",,
péricülum,"periculi, o.",gevaar,,
pöcülum,"poculi, o.",beker,,
astrum,"astri, o.",ster,,
amare,amo,"houden van, beminnen",F. aimer,
cögitare,cogito,nadenken,,
labörare,laboro,werken,labeur,
monêre,moneo,waarschuwen,,
fulgëre,fulgeo,"1. bliksemen, 2. schitteren",,
sédére,sedeo,zitten,,
audire,audio,horen,audio,
dormire,dormio,slapen,F. dormir,
venire,venio,komen,F. venir,
stare,sto,staan,,
pröpërare,propero,zich haasten,,
vigilare,vigilo,waken,,
ridëre,rideo,lachen,F. rire,
iäcëre,jaceo,liggen,,
et,,"1. en, 2. ook",,
nón,,niet,,
ménsa,"mensae, v.",tafel,,
via,"viae, v.",weg,,
ibi,,daar,,
quöqué,,ook,,
esse,sum,zijn,,
sed,,maar,,
iam,,"al, reeds",,
nón iam,,niet meer,,
serva,"servae, v.",slavin,L. servus,
stätua,"statuae, v.",standbeeld,"L, stare",
caelum,"caeli, 0.",hemel,F. ciel,
mönumentum,"monumenti, o.",gedenkteken;,aandenken,
familia,"familiae, v.","familie, gezin",,
luna,"lunae, v.",maan,F. lune,
interdum,,soms,,
cür?,,waarom?,,
diu,,lange tijd,,
dömi,,thuis,,
énim,,"want, immers",,
nunc,,nu,,
ûbi?,,waar?,,
übiquë,,overal,,
nec / nequë,,en niet,,
nequë... neque... / nec... nec...,,niet... en (ook) niet...; noch... noch...,,
undé?,,vanwaar?,,
tandem,,"1. eindelijk, 2. tenslotte",,
cito,,"gauw, snel",,
unus,,één,,
duo,,twee,"duo, duet",
três,,drie,"terts, F. trois",
quattuor,,vier,F. quattre,
quinquë,,vijf,quintet,
sex,,zes,R./É.six,
septem,,zeven,"september, F. sept",
octo,,acht,"oktober, octopus",
novem,,negen,november,
décem,,tien,december,
viginti,,twintig,vingt,
centum,,honderd,cent,
mille,,duizend,millenium,
